Arabic Word 	Gloss	Diacritized Reference
رودين	Rudin	رُودِين
شتويك	Shotwick	شُتْوِيك
باتساني	Bățani	بَاتْسَانِي
بنسون	Benson	بِنْسُون
أوزنغول	Uzungöl	أُوزُنْغُول
شاغنون	Chagnon	شَاغْنُون
بايسنقر	Baysonqor	بَايْسُنْقُر
سِكِم	Sikkim	سِكِم
شاكتي	Shakti	شَاكْتِي
سيناي	Sinnai	سِينَاي
بنتلي	Bentley	بِنْتْلِي
الصمعة	Somâa	صَمْعَة
شاتورا	Shatura	شَاتُورَا
شاختاو	Shakhtau	شَاخْتَاو
بشتفين	Bchetfine	بْشِتَفِين
بيرغستروم	Bergström	بِيرْغْسْتْرُوم
شازند	Shazand	شَازَنْد
شفتلارن	Schäftlarn	شَفْتْلَارْن
شهدادبور	Shahdadpur	شَهْدَادْبُور
طاران	Taran	طَارَان
طاران	Tarane	طَارَان
شهدادكوت	Shahdadkot	شَهْدَادْكُوت
بيتيفيل	Beattyville	بِيتِيفِيل
شمشون	Samson	شَمْشُون
بلعربي	Belarbi	بَلْعَرْبِي
بنسنفيل	Bensenville	بِنْسِنْفِيل
برلين	Berlin	بِرْلِين
وابول	Wapol	وَابُول
شرقاوة	Charqaoua	شَرْقَاوَة
بصير	Basir	بَصِير
بصير	Bassir	بَصِير
بسوس	Bsous	بْسُوس
وزنة	Vazneh	وَزْنَة
شيبون	Shaybun	شَيْبُون
الوحدة	Unity	وَحْدَة
بيرميكورت	Bermicourt	بِيرْمِيكُورْت
وورين	Warren	وُورِين
شينوت	Shaynut	شَيْنُوت
شلاتو	Scillato	شِلَاتُو
يانان	Yan'an	يَانَان
بيريفيل	Berryville	بِيرِيفِيل
فييشي	Vische	فِيِيشِي
شندأباد	Shendabad	شِنْدَأَبَاد
الوراق	Warraq	وَرَّاق
ييرين	Yerin	يِيرِين
يونوت	Ionuț	يُونُوت
زاخاس	Tzachas	زَاخَاس
زهرا	Zahra	زَهْرَا
بلاط	Balat	بَلَاط
بلاط	Blat	بْلَاط
أبهول	Uphall	أَبْهُول
ألفان	Alvan	أَلْفَان
أنجيل	Angèle	أَنْجِيل
الزريزر	Zrizer	زْرِيزِر
العديمة	Adimeh	عَدِيمَة
ادكان	Adkan	أَدْكَان
أنسان	Ansan	أَنْسَان
أنتيب	Antibes	أَنْتِيب
أنزان	Anzan	أَنْزَان
بنزوه	Benzouh	بِنْزُوه
بيرتن	Bertin	بِيرْتِن
بنين	Benin	بِنِين
باركشير	Berkshire	بَارْكْشِير
احشي	Ahshi	أَحْشِيّ
بيتينا	Bettina	بِيتِينَا
بيويل	Beuil	بِيُويِل
شيرتز	Schertz	شِيرْتْز
العوضي	Al-Awadi	عَوَضِيّ
البشائر	Al-Bashair	بَشَائِر
البدايع	Al-Bidayu	بِدَايِع
الجرداء	Al-Jarda	جَرْدَاء
الخبين	Al-Khabbayn	خَبَّيْن
المعشور	Al-Ma`Shur	مَعْشُور
المدينة	Al-Madinah	مَدِينَة
المنارة	Al-Manara	مَنَارَة
المنسي	Al-Mansi	مَنْسِيّ
المرجام	Al-Murjam	مُرْجَام
النعمان	Al-Nu'man	نُعْمَان
القرارة	Al-Qarara	قَرَارَة
الوارية	Al-Waryah	وَارْيَة
بتحلين	Bhanine	بَتْحَلِين
شليهدورف	Schlehdorf	شْلِيهْدُورْف
المدينة	Almadina	مَدِينَة
ألطون	Alton	أَلْطُون
بيكورو	Bikoro	بِيكُورُو
شتاتبرغن	Stadtbergen	شْتَاتْبَرْغِن
شترالزوند	Stralsund	شْتْرَالْزُونْد
النعمان	An-Naman	نَعْمَان
بيلاسوار	Bilasuvar	بِيلَاسُوَار
بيلوهيرسك	Bilohirsk	بِيلُوهِيرْسْك
أنمزي	Anemzi	أَنِمْزِي
بيركا	Birka	بِيرْكَا
بيرزيت	Birzeit	بِيرْزِيت
بيسكوتر	Biscúter	بِيسْكُوتِر
بيتاما	Bitama	بِيتَامَا
بيولكاتي	Biolcati	بِيُولْكَاتِي
آكينو	Aquino	أَكِينُو
بيراتوري	Biratori	بِيرَاتُورِي
ارداق	Ardak	أَرْدَاق
ارفاق	Arfaq	أَرْفَاق
بنزرت	Bizerte	بِنْزَرْت
بوردمان	Boardman	بُورْدْمَان
بودنفيردر	Bodenwerder	بُودِنْفِيرْدَر
بوغراد	Bograd	بُوغْرَاد
أرووود	Arrowwood	أَرُووُود
بيكو	Beko	بِيكُو
بيكو	Biko	بِيكُو
ارزوم	Arzum	أَرْزُوم
بيكو	Biku	بِيكُو
بمهريه	Bmohray	بَمُهْرِيه
الشريخة	Ash-Shiraykhah	شَرِيخَة
بولتانيا	Boltaña	بُولْتَانْيَا
آشفيل	Ashville	أَشْفِيل
اسليت	Aslit	أَسْلِيت
استون	Astun	أَسْتُون
اسورا	Asura	أَسُورَا
أثنس	Athens	أَثِنْس
شومافا	Böhmerwald	شُومَافَا
بوناريس	Bonares	بُونَارِيس
بونسيل	Boncelles	بُونْسِيل
بونيفاي	Bonifay	بُونِيفَاي
باورز	Bowers	بَاوَرْز
باورز	Powers	بَاوَرْز
بازغة	Bazegeh	بَازِغَة
اريدو	Avondale	أَرِيدُو
بونازا	Bonanza	بُونَازَا
بلاطة	Boullata	بُلَّاطَة
بونرار	Bounrar	بُونْرَار
بَريدِس	Paredes	بَرِيدِس
بركاب	Parkab	بَرْكَاب
بزتشلو	Bozchalu	بُزْتْشَلُو
بونينال	Boninal	بُونِينَال
بوردالبا	Bordalba	بُورْدَالْبَا
بيرد	Beard	بِيرْد
بيرد	Byrd	بِيرْد
بايرام	Bayram	بَايْرَام
بورتيلورن	Bortelhorn	بُورْتِيلُورْن
بورزيا	Borzia	بُورْزِيَا
بورزيا	Borzya	بُورْزِيَا
بوسكوفيتش	Boskovic	بُوسْكُوفِيتْش
بوعنداس	Bouandas	بُوعَنْدَاس
بوهارون	Bouharoun	بُوهَارُون
بردك	Braddock	بْرَدُك
بارمن	Barmen	بَارْمِن
بارستو	Barstow	بَارْسْتُو
بارسونز	Parsons	بَارْسُونْز
باسالت	Basalt	بَاسَالْت
بزوان	Bezvan	بِزْوَان
برهامبور	Brahmapur	بَرُهَامْبُور
بوزنيقة	Bouznika	بُوزْنِيقَة
بورسفيل	Bowersville	بَوَرْسْفِيل
برسوانا	Breswana	بْرِسْوَانَا
بوتسولي	Bozzole	بُوتْسُولِي
برجيتسي	Brežice	بْرِجِيتْسِي
برامويل	Bramwell	بْرَامْوِيل
بيتون	Beeton	بِيتُون
بيتون	Bethune	بِيتُون
بيتون	Peotone	بِيتُون
بيتون	Peyton	بِيتُون
بريركرست	Briercrest	بْرِيَرْكْرِسْت
بريندلي	Brindley	بْرِينْدْلِي
بوسنة	Bosna	بُوسْنَة
البطانة	Butana	بُطَانَة
برومن	Brummen	بْرُومِن
بريفيو	Brivio	بْرِيفْيُو
كتمر	Catmore	كَتْمُر
سينجيو	Cengio	سِينْجِيُو
بيتون	Boyton	بُيْتُون
داجنة	Dajinah	دَاجِنَة
تشمة	Chammeh	تْشَمَّة
براونس	Browns	بْرَاوْنْس
بروشيد	Bruschied	بْرُوشِيد
بلوتو	Bluto	بْلُوتُو
برفينيتسا	Brvenica	بْرْفِينِيتْسَا
بروشغورن	Bruschghorn	بْرُوشْغُورْن
كومبيس	Combes	كُومْبِيس
جاموس	Bubalus	جَامُوس
بومهن	Bumahen	بُومَهَن
كامارينياس	Camariñas	كَامَارِينْيَاس
بلانسكو	Blansko	بْلَانْسْكُو
كاميلو	Camillo	كَامِيلُّو
بليبل	Blaybel	بْلَيْبِل
كارابانتس	Carabantes	كَارَابَانْتِس
كروويل	Crowell	كْرُووِيل
بوبيكون	Bubikon	بُوبِيكُون
بلوفر	Plover	بْلُوفِر
بوكانان	Buchanan	بُوكَانَان
بوكسبورت	Bucksport	بُوكْسْبُورْت
بوجاري	Bujari	بُوجَارِي
عريقة	Al-Ariqah	عَرِيقَة
بوجراش	Bujerash	بُوجِرَاش
كركميش	Carchemish	كَرْكِمِيش
بوربانك	Burbank	بُورْبَانْك
شيفر	Carinaria	شَيْفَر
دزلوخ	Desloch	دِزْلُوخ
بيرتن	Burton	بِيرْتِن
بوروندي	Burundi	بُورُونْدِي
كابيديلو	Cabedelo	كَابِيدِيلُو
كاثين	Cacín	كَاثِين
كاديه	Cadet	كَادِيه
كالابارزون	Calabarzon	كَالَابَارْزُون
بوبر	Bóbr	بُوبْر
كاليب	Caleb	كَالِيب
بودن	Boden	بُودِن
إيلغين	Elgin	إِيلْغِين
بودن	Bowden	بُودِن
كالينيشت	Călinești	كَالِينِيشْت
غياضة	Ghiyadah	غِيَاضَة
بودن	Budna	بُودْن
كالواي	Callaway	كَالُوَاي
غُمارة	Gómara	غُمَارَة
بوغو	Bogo	بُوغُو
بحمدون	Bhamdoun	بْحَمْدُون
هادية	Hadia	هَادِيَة
بجفاص	Bijfas	بِجْفَاص
بلاغدون	Blagdon	بْلَاغْدُون
بلاجيفيتش	Blažević	بْلَاجِيفِيتْش
بلاكمان	Blackman	بْلَاكْمَان
بلاكمور	Blackmore	بْلَاكْمُور
حمدان	Hamdan	حَمْدَان
بلانكو	Blanco	بْلَانْكُو
فيست	Fuest	فِيسْت
كالبورنيا	Calpurnia	كَالْبُورْنِيَا
بليشكوتا	Pleșcuța	بْلِيشْكُوتَا
بليلو	Blello	بْلِيلُو
هوانغ	Huang	هُوَانْغ
بليسد	Blessd	بْلِيسْد
كالفيغنانو	Calvignano	كَالْفِيغْنَانُو
كامارغو	Camargo	كَامَارْغُو
كارالكوفا	Carralcova	كَارَالْكُوفَا
كاربورو	Carrboro	كَارْبُورُو
جربان	Jurban	جُرْبَان
كاميلو	Camilo	كَامِيلُو
قايدو	Guido	قَايْدُو
القيطنة	Guittena	قِيطَنَة
كامبيرت	Campert	كَامْبِيرْت
كنداير	Canadair	كَنَدَايِر
كابيو	Capio	كَابِيُو
كارثي	Carthy	كَارْثِي
هايباخ	Haibach	هَايْبَاخ
كاراجليو	Caraglio	كَارَاجْلِيُو
كاتويرا	Catoira	كَاتُوِيرَا
كارينيون	Carignan	كَارِينْيُون
كافاتوري	Cavatore	كَافَاتُورِي
بترين	Petřín	بِتْرِين
بتروسا	PetroSA	بِتْرُوسَا
هاريلس	Harrells	هَارِيلْس
هاريتا	Harrietta	هَارِيتَّا
بيشكوف	Peshkov	بِيشْكُوف
بياقوت	Byaqout	بِيَاقُوت
بيرد	Bird	بِيَرْد
بيدارا	Pedara	بِيدَارَا
كارلوس	Carlos	كَارْلُوس
بيكنز	Pickens	بِيكِنْز
هولدين	Holden	هُولْدِين
كارلسون	Carlson	كَارْلْسُون
كارلسون	Carlsson	كَارْلْسُون
كارميليتا	Carmelita	كَارْمِيلِيتَا
شانارال	Chañaral	شَانَارَال
آيبيثا	Ibiza	آيْبِيثَا
كارونيا	Caronia	كَارُونِيَا
شنتوف	Chentouf	شِنْتُوف
شيركوس	Chercos	شِيرْكُوس
جايبور	Jaipur	جَايْبُور
كاروسو	Caruso	كَارُوسُو
كاسبر	Casper	كَاسْبَر
كاساداغا	Cassadaga	كَاسَادَاغَا
كاسيودوروس	Cassiodorus	كَاسِيُودُورُوس
شايان	Cheyenne	شَايَان
كاسيوس	Cassius	كَاسِيُوس
كاستيلار	Castelar	كَاسْتِيلَار
كاستيلار	Castellar	كَاسْتِيلَار
شايان	Cheyennes	شَايَان
جكوال	Chakwal	جَكْوَال
شيررني	Chiroroni	شِيرُرُنِي
الكرامة	Karameh	كَرَامَة
جمجمال	Chamchamal	جَمَجْمَال
كيفاسو	Chivasso	كِيفَاسُو
كلويه	Chloé	كْلُوِيه
القصدير	Kasdir	قَصْدِير
شربة	Chrabba	شْرَبَة
كريستي	Christi	كْرِيسْتِي
كريستيانا	Christiana	كِرِيسْتِيَانَا
كريستي	Christie	كْرِيسْتِي
كئتا	Keita	كِئْتَا
كريستي	Christy	كْرِيسْتِي
شونشيون	Chuncheon	شُونْشِيُون
خميسي	Khamasi	خَمَيْسِي
شُريانة	Churriana	شُرِيَانَة
الخضارة	Khedara	خِضَارَة
معغان	Ma'agan	مَعْغَان
كوديجيو	Codegua	كُودِيجْيُو
كودجولا	Coggiola	كُودْجُولَا
كوليسفيل	Colesville	كُولِيسْفِيل
كوليجدال	Collegedale	كُولِيجْدَال
كوليجيوفي	Collegiove	كُولِيجْيُوفِي
كومولا	Coloma	كُومُولَا
بلايسانس	Plaisance	بْلَايْسَانْس
كونن	Kühnen	كُونِن
بلومبرغ	Blumberg	بْلُومْبِرْغ
دافي	Davey	دَافِي
دافي	Davy	دَافِي
بلوتو	Blotto	بْلُوتُو
كولترين	Coltrane	كُولْتْرِين
لاوتون	Lawton	لَاوْتُون
كونكريت	Concrete	كُونْكْرِيت
كونفريسا	Confresa	كُونْفْرِيسَا
كونيف	Conniff	كُونِيف
مولدن	Maulden	مَوْلْدِن
دالي	Dale	دَالِي
دالي	Dali	دَالِي
دالي	Daly	دَالِي
كونسي	Consell	كُونْسِي
كونست	Consett	كُونْسِت
المرارة	M'Rara	مَرَارَة
كوريا	Correa	كُورِّيَا
كوريا	Correia	كُورِّيَا
كوسويندا	Cosuenda	كُوسُويِنْدَا
كوتولا	Cotulla	كُوتُولَا
المهزة	Mahazza	مَهَزَّة
كوفيل	Covell	كُوفِيل
دباغ	Dabagh	دَبَاغ
داغوبان	Dagupan	دَاغُوبَان
بلوتو	Pluto	بْلُوتُو
مارسيل	Marcel	مَارْسِيل
كونتاجيم	Contagem	كُونْتَاجِيم
مارية	Maria	مَارِيَة
كوربيل	Corbeil	كُورْبِيل
كورفو	Corfu	كُورْفُو
كورونافاك	CoronaVac	كُورُونَافَاك
كورتيغانا	Cortegana	كُورْتِيغَانَا
كورتس	Cortese	كُورْتِس
كاساتو	Cossato	كَاسَاتُو
داهومي	Dahomey	دَاهُومِي
درشغفت	Dareshgeft	دَرِشْغِفْت
درمار	Darmar	دَرْمَار
ماكلين	McLean	مَاكْلِين
كوتولا	Cotula	كُوتُولَا
دلجلي	Daljeli	دَلْجِلِي
المنارة	Menara	مِنَارَة
كورنت	Courant	كُورَنْت
كورتولد	Courtauld	كُورْتُولْد
دالوا	Daloa	دَالُوَا
كوارتاس	Cuartas	كُوَارْتَاس
كوكوميس	Cucumis	كُوكُومِيس
المطلة	Metula	مِطُلَة
بولينا	Polina	بُولِينَا
الملاجة	Milaja	مِلَاجَة
سركان	Sarkan	سَرْكَان
ديامس	Diam's	دِيَامْس
بولينا	Pollina	بُولِينَا
بوليناغو	Polinago	بُولِينَاغُو
بولينكوف	Polincove	بُولِينْكُوف
موييز	Moiez	مُويِيز
بولفينون	Pulvinone	بُولْفِينُون
كوريا	Curea	كُورِيَا
كوزكو	Cuzco	كُوزْكُو
دادنجان	Dadenjan	دَادِنْجَان
دغروب	Daghrub	دَغْرُوب
بومرمان	Böhmermann	بُومَرْمَان
بومبينو	Bombino	بُومْبِينُو
داركولي	Darkubi	دَارْكُولِي
ديكورا	Dekorra	دِيكُورَا
دوليني	Deligny	دُولِينِي
دانبي	Danby	دَانْبِي
دانسفهان	Danesfahan	دَانِسْفَهَان
دانفورث	Danforth	دَانْفُورْث
ديول	Dhule	دِيُول
بونتيان	Pontian	بُونْتِيَان
بونور	Ponor	بُونُور
بوراشد	Bouchared	بُورَاشِد
النواصر	Nouaceur	نُوَاصِر
النعمان	Nu'man	نُعْمَان
بوريبيستا	Burebista	بُورِيبِيسْتَا
بوريسوف	Borisov	بُورِيسُوف
دانغجين	Dangjin	دَانْغْجِين
اوادا	Ouadda	أُوَادَا
دارانداش	Darandash	دَارَانْدَاش
دارينزيا	Darenzia	دَارِينْزِيَا
دسوق	Desouk	دِسُوق
دواي	Douai	دُوَاي
داشلوجة	Dashlujeh	دَاشْلُوجَة
دستجا	Dastja	دَسْتْجَا
بوردونكل	Bourdoncle	بُورْدُونْكِل
بورليدم	Burleydam	بُورْلِيدَم
بورنيو	Borneo	بُورْنِيُو
بيكريل	Pickrell	بِيكْرِيل
بورتاغ	Portage	بُورْتَاغ
بورتي	Börte	بُورْتِي
دوغاي	Daugai	دُوغَاي
دولان	Dolan	دُولَان
بيتون	Python	بَيْتُون
دولان	Doolan	دُولَان
دولان	Dulan	دُولَان
كويته	Quetta	كُوِيتَّه
دافتاشين	Davtashen	دَافْتَاشِين
دليجة	Delijeh	دَلِيجَة
وولسي	Woolsey	وُولْسِي
دلابلين	Delaplane	دِلَابْلِين
ديرنكويو	Derinkuyu	دِيرِنْكُويُو
ديموبوليس	Demopolis	دِيمُوبُولِيس
بوتشام	Poocham	بُوتْشَام
بوتشيوم	Bucium	بُوتْشِيُوم
بوتشو	Bozhou	بُوتْشُو
ريبلاي	Ripley	رِيبْلَاي
بوتكن	Botkin	بُوتْكِن
بوتلاتش	Potlatch	بُوتْلَاتْش
بوتليتز	Putlitz	بُوتْلِيتْز
دروئية	Deruiyeh	دُرُوئِيَّة
ديتكت	Detekt	دِيتِكْت
ديفسنا	Devasena	دِيفَسِنَا
دختشا	Dexcha	دَخْتْشَا
ديايوس	Diaeus	دِيَايُوس
ديديندورف	Diedendorf	دِيدِينْدُورْف
ديبهولتس	Diepholz	دِيبْهُولْتْس
إيشووا	Isuwa	إِيشُووَا
ديلينجهام	Dillingham	دِيلِينْجْهَام
دينوقراطيس	Dinocrates	دِينُوقْرَاطِيس
دميتروف	Dmitrov	دْمِيتْرُوف
جوندت	Dogali	جُونْدْت
الصرمان	Sarman	صَرْمَان
دوي	Doi	دُوي
دوكوم	Dokkum	دُوكُوم
دولاند	Doland	دُولَانْد
دولوفو	Dolovo	دُولُوفُو
دمية	Domiyeh	دُمِيَّة
دونالدسون	Donaldson	دُونَالْدْسُون
دورجالي	Dorgali	دُورْجَالِي
دورمير	Dormer	دُورْمِير
دهشال	Dehshal	دِهْشَال
دهلان	Dehlan	دِهْلَان
دوروثيا	Dorothea	دُورُوثِيَا
دوروثيوس	Dorotheus	دُورُوثِيُوس
درامان	Dramane	دْرَامَان
آكسلاخ	Achslach	آكْسْلَاخ
سيميون	Simeon	سِيمِيُون
عرعر	Aaraar	عَرْعَر
عرعر	Arar	عَرْعَر
عرعر	Juniperus	عَرْعَر
عروى	Arwa	عَرْوَى
آلميره	Almere	آلْمِيرِه
دوروثي	Dorothy	دُورُوثِي
صوتتل	Sotetel	صَوْتِتِل
السوالم	Soualem	سُوَالِم
ستاهيل	Stahel	سْتَاهِيل
دوربة	Dowrbeh	دَوْرْبَة
دويرة	Doveyreh	دُوَيْرَة
عملاق	Giant	عِمْلَاق
عملاق	Jötnar	عِمْلَاق
عرسال	Arsal	عَرْسَال
شيييل	Sheeel	شِييِيل
دزدبند	Dozdband	دُزْدَبَنْد
دهميت	Dihmīt	دِهْمِيت
دبيلة	Dubaylah	دُبَيْلَة
فائز	Faiz	فَائِز
الطميعة	Tamiya	طَمِيعَة
فاضل	Fadhel	فَاضِل
فاضل	Fadil	فَاضِل
دوديان	Dudyan	دُودِيَان
درازدوف	Drozdov	دْرَازْدُوف
دومكا	Dumka	دُومْكَا
دونايفتسي	Dunaivtsi	دُونَايِفْتْسِي
دونريث	Dunreith	دُونْرِيث
تانيسر	Thanesar	تَانِيسَر
دورانوس	Duranus	دُورَانُوس
ديكلان	Declan	دِيكْلَان
دوربي	Durbe	دُورْبِي
ديلاند	DeLand	دِيلَانْد
دوربين	Durbin	دُورْبِين
ديلولو	Dilolo	دِيلُولُو
دورجا	Durga	دُورْجَا
دوريان	Durio	دُورِيَان
دوستك	Dustak	دُوسْتَك
توسرت	Twosret	تُوسْرِت
تزيليم	Tze'elim	تْزِيلِيم
دوزاني	Dužani	دُوزَانِي
دريما	Dreama	دْرِيمَا
جونغاريا	Dzungaria	جُونْغَارِيَا
عبا	Ebba	عَبَا
أميرطاغ	Emirdağ	أَمِيرْطَاغ
فيجيتو	Vegerot	فِيجِيتُو
أنسيغة	Ensigha	أَنْسِيغَة
فيناي	Vinay	فِينَاي
أرمنيك	Ermenek	أَرْمِنِيك
فيروزة	Fairouzeh	فَيْرُوزَة
فالوغا	Falougha	فَالُوغَا
ويذرز	Withers	وِيذَرْز
فانينج	Fanning	فَانِينْج
فانتلاب	FantLab	فَانْتْلَاب
فراهنغ	Farahak	فَرَاهَنْغ
يوناو	YouNow	يُونَاو
يومبى	Yumbe	يُومْبَى
بوكنآو	Bockenau	بُوكِنْآو
فرندن	Farndon	فَرْنْدُن
فاستلي	Fastly	فَاسْتْلِي
فاريويل	Favreuil	فَارْيُويِل
فريدريكا	Federica	فِرِيدْرِيكَا
فاتن	Fatin	فَاتِن
زدينيك	Zdeněk	زْدِينِيك
فيشوبف	Feechopf	فِيشُوبْف
فاتو	Fatou	فَاتُو
فلارغ	Felarg	فِلَارْغ
فيلزمير	Fellsmere	فِيلْزْمِير
بورتون	Burraton	بُورَتُون
بورغور	Borgore	بُورْغُور
العابدين	Abidin	عَابِدِين
فرناندو	Fernando	فِرْنَانْدُو
عادوله	Adel	عَادُولَه
بورتون	Burrton	بُورْتُون
بورتون	Burton	بُورْتُون
فيراري	Ferrari	فِيرَارِي
اغاديت	Aghadit	أَغَادِيت
فروخي	Ferroukhi	فِرُّوخِي
فريفيل	Ferryville	فِرِيفِيل
البويرق	Al-Buwayraq	بُوَيْرَق
الغريفة	Al-Ghurayfah	غُرَيْفَة
الحرية	Al-Horria	حُرِّيَّة
الحرية	Al-Hurriya	حُرِّيَّة
الخريبة	Al-Khuraybah	خُرَيْبَة
المكاريب	Al-Makarib	مَكَارِيب
المحيبس	Al-Mihaybis	مِحَيْبِس
المنتجه	Al-Mintajjah	مِنْتَجَّه
المغسيل	Al-Mughsayl	مُغْسَيْل
المختلط	Al-Mukhtalat	مُخْتَلَط
المريغة	Al-Murayghah	مُرَيْغَة
فيتشيوكس	Ficheux	فِيتْشْيُوكْس
المطيول	Al-Mutaywil	مُطَيْوِل
النعاني	Al-Na'ani	نَعَانِيّ
فيدالغو	Fidalgo	فِيدَالْغُو
الوديات	Al-Widayyat	وِدَيَّات
القطامي	Alcoutim	قَطَامِيّ
فيركرست	Fircrest	فِيرْكْرِسْت
ألخاستي	Alkhasty	أَلْخَاسْتِي
فيروزة	Firuze	فِيرُوزَة
فنيدق	Fnaydeq	فْنَيْدِق
فوليت	Follett	فُولِيت
فروديسي	Fordyce	فُرُودِيسِي
فورمجيني	Formigine	فُورْمِجِينِي
فورستر	Forrester	فُورِسْتَر
فريدريكا	Frederica	فْرِيدِرِيكَا
فورشيا	Forchia	فُورْشِيَا
فرعم	Fir'im	فِرْعِم
فريدريكا	Frederika	فْرِيدِرِيكَا
اشتقل	Ashtaqal	أَشْتَقَل
فروند	Freund	فْرُونْد
فورستر	Förster	فُورْسْتَر
أتابوبو	Atapupu	أَتَابُوبُو
فوسفوريتو	Fosforito	فُوسْفُورِيتُو
دوريان	Dorian	دُورِيَان
فوشانة	Fouchana	فُوشَانَة
فوكسس	Foxes	فُوكْسِس
فريقات	Frikat	فْرِيقَات
فروغن	Frogn	فْرُوغْن
فرومرز	Frommer's	فْرُومَرْز
فروند	Fronde	فْرُونْد
فروساسكو	Frossasco	فُرُوسَّاسْكُو
فريفيل	Freeville	فْرِيفِيل
بنديكت	Benedict	بِنِدِيكْت
فرويتا	Fruita	فْرُويِتَا
فليحة	Fulayhah	فُلَيْحَة
غالاشر	Gallacher	غَالَاشَر
فريسا	Frisa	فْرِيسَا
غالودورو	Gallodoro	غَالُّودُورُو
غاردنديل	Gardendale	غَارْدِنْدِيل
غاريدو	Garrido	غَارِّيدُو
غاوديوسة	Gaudiosa	غَاوْدِيُوسَة
غوميشان	Gavmishan	غَوْمِيشَان
غلوكوكيناز	GCK	غْلُوكُوكِينَاز
فولدابروك	Fuldabrück	فُولْدَابْرُوك
جبرائيل	Gabriel	جِبْرَائِيل
فريتان	Fritan	فْرِيتَان
غيديس	Geddes	غِيدِيس
جينالوجيكش	Genealogics	جِينَالُوجِيكْش
جمالائيل	Gamaliel	جَمَالَائِيل
غامبرو	Gambro	غَامْبْرُو
فيندآخ	Windach	فِينْدَآخ
غامتوغ	Gamtog	غَامْتُوغ
فيست	Feist	فِيسْت
فيستبي	Vestby	فِيسْتْبِي
غاردا	Garda	غَارْدَا
فيتورينو	Vitorino	فِيتُورِينُو
غيراتشي	Gerace	غِيرَاتْشِي
فلاورز	Flowers	فْلَاوَرْز
غرامي	Gerami	غِرَامِي
فلينت	Flint	فْلِينْت
فلينت	Flynt	فْلِينْت
فلور	Flor	فْلُور
فلور	Flore	فْلُور
فلور	Fluor	فْلُور
سيدايلو	Cedillo	سِيدَايْلُو
فرانكا	Franca	فْرَانْكَا
فرانس	France	فْرَانْس
فرانس	Frans	فْرَانْس
الشلالة	Chellala	شِلَّالَة
غازاندا	Gasanda	غَازَانْدَا
شيكني	Chiconi	شِيكُنِي
غرداب	Gerdab	غِرْدَاب
غانيون	Ghanaians	غَانِيّ
تشويزا	Choiza	تْشُويْزَا
غنامة	Ghanamah	غَنَامَة
جايوني	Giaglione	جَايُونِي
غزمنزل	Gazmanzel	غَزْمَنْزِل
تشوريا	Ciurea	تْشُورِيَا
فوستون	Fosston	فُوسْتُون
كلويه	Giluyeh	كِلُويِه
جيفنشي	Givenchy	جِيفِنْشِي
غليتر	Goleytar	غُلَيْتَر
غارفان	Garvan	غَارْفَان
غيغاروت	Gegharot	غِيغَارُوت
جيلدارت	Geldart	جِيلْدَارْت
غرغيتش	Gorgich	غُرْغِيتْش
جيلتيندورف	Geltendorf	جِيلْتِينْدُورْف
جورمان	Gorman	جُورْمَان
جينوكي	GENUKI	جِينُوكِي
ددوود	Deadwood	دِدْوُود
جيوجراف	Geograph	جِيُوجْرَاف
ديكوراه	Decorah	دِيكُورَاه
الدغيمة	Degaimah	دِغَيْمَة
غورونتالو	Gorontalo	غُورُونْتَالُو
جورجيانا	Georgiana	جُورْجِيَانَا
غوسنولد	Gosnold	غُوسْنُولْد
الدغالي	Dgali	دْغَالِيّ
جيراردو	Gerardo	جِيرَارْدُو
غوتليب	Gottlieb	غُوتْلِيب
جرمانيا	Germania	جِرْمَانِيَا
جيرمانو	Germano	جِيرْمَانُو
عمالقة	Giants	عَمَالِقَة
هيغانغ	Hegang	هِيغَانْغ
هيستون	Hesston	هِيسْتُون
دوفربن	Douvrin	دُوفْرَبْن
جبعون	Gibeon	جِبْعُون
جيلمور	Gilmore	جِيلْمُور
غوركوف	Gourcuff	غُورْكُوف
غوراند	Gowrand	غُورَانْد
فيشترزباخ	Wächtersbach	فِيشْتَرْزْبَاخ
غورسدورف	Gœrsdorf	غُورْسْدُورْف
غولدبرغ	Goldberg	غُولْدْبِرْغ
غوراوان	Gowravan	غُورَاوَان
غوزديكه	Gozdeyka	غُوزْدِيكَه
غولسن	Golßen	غُولْسَن
غاكل	Gackle	غَاكِل
البلينا	El-Balyana	بَلْيَنَا
غودفيو	Goodview	غُودْفِيُو
غالفان	Galván	غَالْفَان
غودش	Gozo	غَوْدَش
فيليج	Velizh	فِيلِيج
كنفودة	Guenfouda	كُنْفُودَة
غوغتشين	Gugchin	غُوغْتْشِين
جوجرانوالا	Gujranwala	جُوجْرَانْوَالَا
غانس	Gans	غَانْس
غانون	Gagnon	غَانُون
فيلوبابوس	Philopappos	فِيلُوبَابُوس
فيلومينا	Philomena	فِيلُومِينَا
جولشان	Gülşen	جُولْشَان
كاشتون	Cashton	كَاشْتُون
غونيان	Gunian	غُونِيَان
غونجيك	Gunjik	غُونْجِيك
غونيسون	Gunnison	غُونِيسُون
غايل	Gaels	غَايِل
غايل	Gayle	غَايِل
غايل	Guile	غَايِل
الفرقلس	Furqlus	فُرْقْلُس
جونتران	Guntram	جُونْتْرَان
غوستافوس	Gustavus	غُوسْتَافُوس
